2018-10-10 19:10:58 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181010 where adzone_id=2666,查找出来的数量是:1112832,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (1112832, '1','2018-10-10 19:10:58'),插入影响数据:1
2018-10-12 10:22:00 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:277,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (277, '1','2018-10-12 10:22:00'),插入影响数据:1
2018-10-12 10:22:10 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:277,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (277, '1','2018-10-12 10:22:10'),插入影响数据:1
2018-10-12 10:22:21 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:277,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (277, '1','2018-10-12 10:22:20'),插入影响数据:1
2018-10-12 10:22:31 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:277,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (277, '1','2018-10-12 10:22:31'),插入影响数据:1
2018-10-12 10:22:41 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:277,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (277, '1','2018-10-12 10:22:41'),插入影响数据:1
2018-10-12 10:22:51 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:277,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (277, '1','2018-10-12 10:22:51'),插入影响数据:1
2018-10-12 10:23:02 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:277,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (277, '1','2018-10-12 10:23:01'),插入影响数据:1
2018-10-12 10:23:12 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:278,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (278, '1','2018-10-12 10:23:12'),插入影响数据:1
2018-10-12 10:23:22 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:278,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (278, '1','2018-10-12 10:23:22'),插入影响数据:1
2018-10-12 10:23:33 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:278,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (278, '1','2018-10-12 10:23:32'),插入影响数据:1
2018-10-12 10:23:43 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:278,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (278, '1','2018-10-12 10:23:43'),插入影响数据:1
2018-10-12 10:23:53 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:278,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (278, '1','2018-10-12 10:23:53'),插入影响数据:1
2018-10-12 10:24:03 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:278,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (278, '1','2018-10-12 10:24:03'),插入影响数据:1
2018-10-12 10:24:14 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:278,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (278, '1','2018-10-12 10:24:13'),插入影响数据:1
2018-10-12 10:24:24 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:278,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (278, '1','2018-10-12 10:24:24'),插入影响数据:1
2018-10-12 10:24:34 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:278,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (278, '1','2018-10-12 10:24:34'),插入影响数据:1
2018-10-12 10:24:45 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:278,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (278, '1','2018-10-12 10:24:45'),插入影响数据:1
2018-10-12 10:24:56 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:278,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (278, '1','2018-10-12 10:24:55'),插入影响数据:1
2018-10-12 10:25:07 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:279,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (279, '1','2018-10-12 10:25:06'),插入影响数据:1
2018-10-12 10:25:17 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:279,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (279, '1','2018-10-12 10:25:17'),插入影响数据:1
2018-10-12 10:25:38 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:279,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (279, '1','2018-10-12 10:25:35'),插入影响数据:1
2018-10-12 10:25:49 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:279,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (279, '1','2018-10-12 10:25:48'),插入影响数据:1
2018-10-12 10:25:59 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:279,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (279, '1','2018-10-12 10:25:59'),插入影响数据:1
2018-10-12 10:26:10 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:279,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (279, '1','2018-10-12 10:26:10'),插入影响数据:1
2018-10-12 10:26:20 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:279,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (279, '1','2018-10-12 10:26:20'),插入影响数据:1
2018-10-12 10:26:31 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:279,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (279, '1','2018-10-12 10:26:31'),插入影响数据:1
2018-10-12 10:26:42 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:279,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (279, '1','2018-10-12 10:26:41'),插入影响数据:1
2018-10-12 10:26:53 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:279,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (279, '1','2018-10-12 10:26:52'),插入影响数据:1
2018-10-12 10:27:05 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:279,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (279, '1','2018-10-12 10:27:04'),插入影响数据:1
2018-10-12 10:27:19 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:279,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (279, '1','2018-10-12 10:27:15'),插入影响数据:1
2018-10-12 10:27:29 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:279,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (279, '1','2018-10-12 10:27:29'),插入影响数据:1
2018-10-12 10:27:39 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:279,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (279, '1','2018-10-12 10:27:39'),插入影响数据:1
